UNITID,OPEID,opeid6,INSTNM,CITY,STABBR,INSTURL,NPCURL,LOCALE
121363,126800,1268,Porterville College,Porterville,CA,www.portervillecollege.edu,webprod.cccco.edu/npc/523/npcalc.htm,13
121381,1162600,11626,Westwood College-South Bay,Torrance,CA,www.westwood.edu,ccc.westwood.edu,11
121433,1298400,12984,Professional Institute of Beauty,El Monte,CA,www.pib.edu,www.pib.edu/npcalc.htm,21
121619,128400,1284,Santa Ana College,Santa Ana,CA,www.sac.edu,www.sac.edu/StudentServices/FinancialAid/Pages/npcalc.aspx,11
121628,1044100,10441,Pardee RAND Graduate School,Santa Monica,CA,www.prgs.edu,www.prgs.edu,13
121637,4161700,41617,Shasta School of Cosmetology,Redding,CA,www.hambeltonbeauty.com,www.hambeltonbeauty.com,13
121691,132200,1322,University of Redlands,Redlands,CA,www.redlands.edu,www.redlands.edu/offices-directories/financial-aid/11014.aspx,13
121707,118500,1185,College of the Redwoods,Eureka,CA,www.redwoods.edu,www.redwoods.edu/financial-aid/documents/StudentBudget12.pdf,41
121859,720300,7203,Salon Success Academy-Upland,Upland,CA,www.gotobeautyschool.com,www.gotobeautyschool.com,21
121868,1309500,13095,Salon Success Academy-Corona,Corona,CA,www.gotobeautyschool.com,www.gotobeautyschool.com,12
121886,126900,1269,Rio Hondo College,Whittier,CA,www.riohondo.edu,www.riohondo.edu/students/financialaid/net_price_calculator.html,21
121901,127000,1270,Riverside City College,Riverside,CA,www.rcc.edu/riverside/,www.lamarcc.edu/admission/paying-for-college/net-price-calculator/,11
121983,2179908,21799,Argosy University-San Francisco Bay Area,Alameda,CA,www.argosy.edu/sanfrancisco,tcc.noellevitz.com/edmc/Argosy%20University?iframe=true&width600&height=1000,21
121992,1294200,12942,Rosemead Beauty School,Rosemead,CA,www.rosemead-beauty-school.com,www.rosemead-beauty-school.com/B3-HTMLS/RBC%20Softwares/NetPriceCalculator/npcalc.htm,21
122117,3109500,31095,Dongguk University-Los Angeles,Los Angeles,CA,dula.edu,dula.edu/netpricecalculator,11
122180,123300,1233,Sacramento City College,Sacramento,CA,www.scc.losrios.edu/,wserver.scc.losrios.edu/netprice,11
122205,891800,8918,Saddleback College,Mission Viejo,CA,www.saddleback.edu,www.saddleback.edu/fao/net-price-calculator/,21
122296,701200,7012,Samuel Merritt University,Oakland,CA,www.samuelmerritt.edu,NULL,11
122339,127300,1273,San Diego City College,San Diego,CA,www.sdcity.edu/,www.sdcity.edu/CollegeServices/StudentSupportResources/FinancialAid/NetPriceCalculator,11
122366,3010611,30106,Golf Academy of America-Carlsbad,Carlsbad,CA,www.golfacademy.edu,www.golfacademy.edu,12
122375,127500,1275,San Diego Mesa College,San Diego,CA,www.sdmesa.edu/,webprod.cccco.edu/npc/072/npcalc.htm,11
122384,1182000,11820,San Diego Miramar College,San Diego,CA,www.sdmiramar.edu/,webprod.cccco.edu/npc/073/npcalc.htm,11
122409,115100,1151,San Diego State University,San Diego,CA,www.sdsu.edu,www.csumentor.edu/finaid/pais/,11
122436,1039500,10395,University of San Diego,San Diego,CA,www.sandiego.edu,www.sandiego.edu/admissions/undergraduate/tuition_aid/affording_usd.php,11
122454,394800,3948,San Francisco Art Institute,San Francisco,CA,www.sfai.edu,www.sfai.edu/net-price-calculator,11
122506,127800,1278,San Francisco Conservatory of Music,San Francisco,CA,www.sfcm.edu,www.sfcm.edu,11
122597,115400,1154,San Francisco State University,San Francisco,CA,www.sfsu.edu,www.csumentor.edu/finaid/pais/,11
122603,127900,1279,San Francisco Theological Seminary,San Anselmo,CA,www.sfts.edu,www.sfts.edu,21
122612,132500,1325,University of San Francisco,San Francisco,CA,www.usfca.edu/,www.usfca.edu/netpricecalculator/,11
122649,2500000,25000,San Joaquin College of Law,Clovis,CA,www.sjcl.edu,NULL,21
122658,128000,1280,San Joaquin Delta College,Stockton,CA,www.deltacollege.edu,webprod.cccco.edu/npc/551/npcalc.htm,11
12265801,128001,1280,San Joaquin General Hospital School of Radiation Technology,French Camp,CA,http://deltacollege.edu/div/hs/radiohome.html,NULL,NULL
122685,2120700,21207,San Joaquin Valley College-Visalia,Visalia,CA,www.sjvc.edu,www.sjvc.edu/net-price-calculator,41
12268501,2120705,21207,San Joaquin Valley College,Hanford,CA,http://www.sjvc.edu,NULL,NULL
12268502,2120700,21207,San Joaquin Valley College-Online,Visalia,CA,http://info.sjvc.edu/campus.php?selection=SJVCOnline&source_code=DTMKSR&source_campaign_id=636&affiliate_id=sjvc+college&dart_code=p308653487&gclid=CP,NULL,NULL
122694,2120703,21207,San Joaquin Valley College-Bakersfield,Bakersfield,CA,www.sjvc.edu/,www.sjvc.edu/net-price-calculator,11
122728,128100,1281,William Jessup University,Rocklin,CA,WWW.JESSUP.EDU,www.jessup.edu/financial-aid/net-price-calculator,41
122746,128200,1282,San Jose City College,San Jose,CA,www.sjcc.edu,webprod.cccco.edu/npc/472/npcalc.htm,11
122755,115500,1155,San Jose State University,San Jose,CA,www.sjsu.edu,www.csumentor.edu/finaid/pais/,11
122791,118100,1181,College of San Mateo,San Mateo,CA,www.collegeofsanmateo.edu,webprod.cccco.edu/npc/372/npcalc.htm,21
122834,2577900,25779,Santa Barbara Business College-Bakersfield,Bakersfield,CA,sbbcollege.edu,www.sbbcollege.edu/consumerinformation/npc/bakersfield-ranchoMirage/npcalc.htm,11
122843,3072700,30727,Westwood College-Los Angeles,Los Angeles,CA,www.westwood.edu,ccc.westwood.edu,11
122852,2578000,25780,Santa Barbara Business College-Santa Maria,Santa Maria,CA,sbbcollege.edu,www.sbbcollege.edu/consumerinformation/npc/santaMaria/npcalc.htm,13
122889,128500,1285,Santa Barbara City College,Santa Barbara,CA,www.sbcc.edu,webprod.cccco.edu/npc/651/npcalc.htm,13
122931,132600,1326,Santa Clara University,Santa Clara,CA,www.scu.edu,www.scu.edu/financialaid/Net-Price-Calculator.cfm,12
12293101,132604,1326,Jesuit School of Theology of Santa Clara University,Berkeley,CA,http://www.scu.edu/jst/,NULL,NULL
122977,128600,1286,Santa Monica College,Santa Monica,CA,www.smc.edu,webprod.cccco.edu/npc/781/npcalc.htm,13
123013,128700,1287,Santa Rosa Junior College,Santa Rosa,CA,www.santarosa.edu,webprod.cccco.edu/npc/261/npcalc.htm,12
123095,2120600,21206,Saybrook University,San Francisco,CA,www.saybrook.edu,www.saybrook.edu/affording/howtoapply/determineneed,11
123165,117400,1174,Scripps College,Claremont,CA,www.scrippscollege.edu,admission.scrippscollege.edu/net-price-calculator,21
123208,719000,7190,Wyotech-Fremont,Fremont,CA,www.wyotech.edu/campus/fremont,www.Wyotech.edu/npc,21
123217,118600,1186,College of the Sequoias,Visalia,CA,www.cos.edu,cos.edu/FinancialAid/NetPriceCalculator/Pages/default.aspx,12
123280,2359300,23593,Shasta Bible College and Graduate School,Redding,CA,www.shasta.edu,ftp.shasta.edu/NetPrice/npcalc.htm,13
123299,128900,1289,Shasta College,Redding,CA,www.shastacollege.edu,webprod.cccco.edu/npc/171/npcalc.htm,22
123341,129000,1290,Sierra College,Rocklin,CA,www.sierracollege.edu,webprod.cccco.edu/npc/271/npcalc.htm,21
123350,2064300,20643,Sierra College of Beauty,Merced,CA,sierrabeautycollege.net,sierrabeautycollege.net,13
